1991,1992,1993,1994
0.086801094,0.033932437,-0.034843907,7.84
0.56071511,0.507202412,0.418133603,10.73
-0.475244302,-0.49174663,-0.555689128,4.54
-0.510164282,-0.542567567,-0.606195331,4.16
0.504177999,3.554870476,2.713009213,20.84
0.722012162,0.713662469,0.755893837,12.95
-0.899272632,-0.918960131,-0.981835218,1.81
-0.305632969,-0.201114397,0.320277834,11.76
-0.94416975,-0.925312748,-0.437315214,6.6
0.382789497,0.492909024,0.441808386,9.72
-0.641529922,-0.641033132,-0.603038694,3.54
-1.060569684,-0.925312748,-0.563580722,6.3
-0.959135455,-0.968192914,-1.027606465,1.56
-0.047890259,-0.147117151,0.001457426,9.65
-0.962461168,-0.971369223,-1.051281247,1.36
-0.781209842,-0.796672252,-0.866617942,2.58
-0.844398378,-0.841140572,-0.901340957,2.38
0.635543639,1.21869553,1.314618711,12.8
-1.042278265,-1.044424319,-1.114414002,1.11
0.813469252,1.14087597,0.733797373,13.83
1.708085887,1.695141814,1.775487815,20.71
-1.11045537,-0.718852692,0.067746818,12.8
0.402743771,0.327740979,0.269771631,11.1
-0.718021307,-0.693442224,-0.787701999,3.08
-0.16096448,-0.191585471,-0.322097938,6.17
2.559468261,2.4320454,2.599370256,22.98
-0.428684328,-0.439337539,-0.513074519,5.03
-0.975764017,-0.980898148,-1.051281247,1.43
1.087840525,1.377510958,1.68710196,21.2
-0.275701558,-0.307520733,-0.371025823,5.72
0.505840856,0.567552275,0.522302647,10.4
0.327915242,0.397619767,0.54597743,11.37
-0.914238338,-0.764909166,-0.686689593,3.88
-0.219164447,-0.19476178,-0.109024893,7.57
-0.34055295,-0.520333407,-0.565159041,5.87
-0.816129822,-0.834787954,-0.849256435,2.9
-0.111078794,-0.147117151,-0.350507677,4.99
0.036915408,-0.002595112,-0.042735501,7.81
-0.723009875,-0.744263161,-0.809798463,2.92
2.12712565,1.973068813,1.893861729,20.09
0.472583732,0.288037122,-0.042735501,8.25
-0.360507224,-0.418691533,-0.486243099,5
0.663812195,0.569140429,0.492314589,11.12
-0.317272963,-0.587035887,-0.650388259,4.05
1.458657458,1.401333272,1.349341725,15.78
0.103429656,0.068871831,0.033023803,8.14
-0.711369882,-0.879256274,-0.847678116,2.7
-0.832758384,-0.798260406,-0.591990462,4.3
-0.325587244,-0.207467014,-0.061675328,8.73
3.671919058,3.426229979,3.333288521,29.02
0.302972399,0.222922796,0.418133603,8.04
-0.154313055,-0.226524865,-0.284218286,6.36
2.215257028,2.660739616,2.866106141,27.74
-0.811141254,-0.836376109,-0.861882985,2.91
-0.318935819,-0.339283819,-0.383652373,5.95
-0.802826973,-0.825259029,-0.849256435,2.96
-0.380461498,-0.353577208,-0.301579793,7.78
-0.061193108,-0.020064809,0.094578239,9.67
-0.483558583,-0.49174663,-0.554110809,4.44
0.349532373,0.205453099,0.44969998,10.93
0.161629623,0.200688636,0.411820328,11.76
-0.325587244,-0.331343048,-0.369447504,5.9
1.438703183,1.599852557,2.223730369,24.21
